timestamp,sample_timestamp,unityTimestamp,localTimestamp,emg1,emg2,rms1,rms2,left_processed,right_processed
14806.572240199357,14806.572240199357,14806.572240199357,14806.572240199357,0.16947743048437228,0.09179645780568935,0.2021003097660959,0.12703075750684376,0.8090351180451139,0.0
14806.577240199356,14806.577240199356,14806.577240199356,14806.577240199356,0.1695850167783049,0.09291986985358418,0.2022621561802532,0.12778648186859454,0.8111942793431105,0.0
14806.582240199356,14806.582240199356,14806.582240199356,14806.582240199356,0.16967871527495493,0.09403831492140738,0.20241421553535158,0.12854574693871185,0.8132228734039442,0.0
14806.587240199355,14806.587240199355,14806.587240199355,14806.587240199355,0.1697604941440409,0.09515237395048819,0.2025564698889446,0.08681535144039539,0.815120660860953,0.0
14806.592240199354,14806.592240199354,14806.592240199354,14806.592240199354,0.19044067068568213,0.09626191763061832,0.2038304908273082,0.08795171258120554,0.8321171245594218,0.0
14806.597240199353,14806.597240199353,14806.597240199353,14806.597240199353,0.16988801166723236,0.097366794937715,0.20395235948224655,0.08908434849502328,0.8337429504051895,0.0
14806.602240199352,14806.602240199352,14806.602240199352,14806.602240199352,0.16993388104807183,0.09846699159796839,0.20406441527976882,0.0902131502731634,0.8352378648429668,0.0
14806.607240199352,14806.607240199352,14806.607240199352,14806.607240199352,0.1699676871560003,0.09956231371520391,0.17066104899502965,0.09133800039218644,0.3896101005187388,0.0
14806.61224019935,14806.61224019935,14806.61224019935,14806.61224019935,0.169989466321882,0.10065266682233018,0.17077152640145854,0.09245878154556376,0.39108395795021983,0.0
14806.61724019935,14806.61724019935,14806.61724019935,14806.61724019935,0.16999936200346086,0.17030932480347433,0.17087018943433488,0.09961058276991015,0.39240020213912413,0.0
14806.62224019935,14806.62224019935,14806.62224019935,14806.62224019935,0.1699970919808275,0.10281809505587297,0.17095700404875463,0.10065621888038603,0.3935583788990581,0.0
14806.627240199348,14806.627240199348,14806.627240199348,14806.627240199348,0.16998290979017264,0.10389294243087427,0.17103197651641772,0.10169911917036953,0.3945585718995412,0.0
14806.632240199348,14806.632240199348,14806.632240199348,14806.632240199348,0.24937668855332373,0.10496242932343687,0.17707342232010564,0.10273911925741167,0.47515631656497714,0.0
14806.637240199347,14806.637240199347,14806.637240199347,14806.637240199347,0.16991856432386201,0.10602636724882598,0.17712295446140497,0.10377605385769977,0.4758171151563902,0.0
14806.642240199346,14806.642240199346,14806.642240199346,14806.642240199346,0.16986846230832195,0.1070847578636074,0.17716102085481972,0.10480976410917331,0.476324951451951,0.0
14806.647240199345,14806.647240199345,14806.647240199345,14806.647240199345,0.16980628844918608,0.10813739976023438,0.17718761549160073,0.10584009089080874,0.4766797452901142,0.0
14806.652240199344,14806.652240199344,14806.652240199344,14806.652240199344,0.1697320876447873,0.10918420475769483,0.17720284977079623,0.10686691441323555,0.4768829828237542,0.0
14806.657240199344,14806.657240199344,14806.657240199344,14806.657240199344,0.4284592023096681,0.11022500691763261,0.2026745867145165,0.10789000425076405,0.8166964342863016,0.0
14806.662240199343,14806.662240199343,14806.662240199343,14806.662240199343,0.16954796671449535,0.11126004977823875,0.2026677478346736,0.10890926334542109,0.8166051981303736,0.0
14806.667240199342,14806.667240199342,14806.667240199342,14806.667240199342,0.1694380025714738,0.11228885317273421,0.20265088013956467,0.10992453506767462,0.8163801695150952,0.0
14806.672240199341,14806.672240199341,14806.672240199341,14806.672240199341,0.1693160452119559,0.1133114025469708,0.20147554778068727,0.11093567159584777,0.8007002908178471,0.0
14806.67724019934,14806.67724019934,14806.67724019934,14806.67724019934,0.16918205871575862,0.11432756834214462,0.2014384170999143,0.11194252762169223,0.8002049376812905,0.0
14806.68224019934,14806.68224019934,14806.68224019934,14806.68224019934,0.169036167654635,0.11533730740522649,0.20139120452908474,0.1129449583565117,0.7995750840250023,0.0
14806.687240199339,14806.687240199339,14806.687240199339,14806.687240199339,0.1688784582314515,0.11634055891094061,0.2013339258489926,0.11394282810522015,0.7988109403774633,0.0
